Correlation,Centrality,Ground Truth
-0.30982888012193516,degree_centrality,importance
-0.383431977048247,degree_centrality,scaled_average_score
-0.35439463789115255,degree_centrality,doctypebranch
-0.19869399703629695,in_degree_centrality,importance
-0.44206889527865456,in_degree_centrality,scaled_average_score
-0.2794600290691479,in_degree_centrality,doctypebranch
-0.265680436735234,out_degree_centrality,importance
0.09833965904309419,out_degree_centrality,scaled_average_score
-0.2805631783177324,out_degree_centrality,doctypebranch
-0.3573197541003978,betweenness_centrality,importance
-0.12006260170018296,betweenness_centrality,scaled_average_score
-0.42562679017218213,betweenness_centrality,doctypebranch
-0.17356098567075415,closeness_centrality,importance
-0.4518735214107815,closeness_centrality,scaled_average_score
-0.14138621409208538,closeness_centrality,doctypebranch
-0.27281981169230257,core_number,importance
-0.2288729585600898,core_number,scaled_average_score
-0.18151303283629155,core_number,doctypebranch
-0.19869399703629695,relative_in_degree_centrality,importance
-0.44206889527865456,relative_in_degree_centrality,scaled_average_score
-0.2794600290691479,relative_in_degree_centrality,doctypebranch
-0.1611440173773257,eigenvector_centrality,importance
-0.42909031684176224,eigenvector_centrality,scaled_average_score
-0.12122686537171713,eigenvector_centrality,doctypebranch
-0.09553180919800662,pagerank,importance
-0.3847395312511742,pagerank,scaled_average_score
-0.1336742108291121,pagerank,doctypebranch
-0.009444180833677844,hits_hub,importance
-0.009901318245493456,hits_hub,scaled_average_score
-0.08146267168738038,hits_hub,doctypebranch
-0.16912944573330993,hits_authority,importance
-0.49341720392579497,hits_authority,scaled_average_score
-0.2174219482151058,hits_authority,doctypebranch
-0.156875729296023,harmonic_centrality,importance
-0.45291679328890894,harmonic_centrality,scaled_average_score
-0.14517482602403545,harmonic_centrality,doctypebranch
0.10607137012864833,disruption,importance
-0.025938701826571972,disruption,scaled_average_score
0.228690841125428,disruption,doctypebranch
0.18260374564336396,composite,importance
0.5215991189294673,composite,scaled_average_score
0.21268656041950612,composite,doctypebranch
